9349 9349 9349
32564645.42100 5778445.20300       61.65121
32564783.36600 5777805.89400       60.10838
32564788.46600 5777800.80400       59.84177
32564790.02900 5777802.45000       60.13721
32564794.86300 5777797.49500       60.10300
32564788.55200 5777791.38000       59.82664
32564784.52100 5777795.79800       59.90062
32564781.92200 5777793.33300       59.83966
32564776.36800 5777799.15800       59.97662
32564800.00600 5777819.90200       60.68846
32564805.69600 5777814.23900       60.75540
32564807.60600 5777816.23000       60.73936
32564812.67400 5777811.09000       60.80606
32564804.01600 5777802.64000       60.88055
32564800.12200 5777806.63900       61.05518
32564796.27900 5777803.01900       60.62056
32564789.81800 5777809.41200       60.48675
32564783.85900 5777811.62800       60.43093
32564777.83700 5777805.49600       60.18823
32564774.76400 5777808.58100       60.44538
32564776.07000 5777809.86200       60.47920
32564768.45000 5777817.57400       60.41659
32564775.60000 5777824.89800       60.43318
32564783.85100 5777816.72600       60.45426
32564781.27400 5777814.21200       60.50797
32564813.83600 5777832.35400       61.19640
32564818.61600 5777827.75000       61.02742
32564821.05500 5777830.26000       61.28244
32564825.38300 5777826.01600       61.45550
32564822.78800 5777823.40500       61.24135
32564821.16200 5777824.76200       61.09709
32564814.35800 5777817.58300       60.90809
32564806.74600 5777825.21200       60.81954
32564772.35700 5777830.59000       60.36719
32564768.30000 5777826.57500       60.39805
32564764.63000 5777830.43900       60.27812
32564768.29500 5777834.41000       60.19310
32564951.93100 5777838.38800       64.68494
32564948.50600 5777835.58800       64.58850
32564946.60600 5777837.93100       64.46660
32564950.03300 5777840.68200       64.47301
32564922.64600 5777821.80200       63.84986
32564921.45100 5777819.52200       63.27459
32564915.76500 5777822.28300       62.83206
32564918.15200 5777826.96500       62.79729
32564908.64400 5777836.25900       62.85067
32564913.12700 5777840.83300       63.68748
32564922.80400 5777831.14500       64.30023
32564918.78800 5777827.06000       64.30099
32564924.03300 5777824.45000       64.06978
32564905.43800 5777834.63900       62.78576
32564897.18600 5777841.92400       62.86998
32564901.68600 5777846.50400       63.43106
32564909.46700 5777838.64600       63.16528
32564828.09100 5777847.45400       61.70435
32564839.05100 5777836.66900       61.74962
32564832.78600 5777830.48500       61.67052
32564828.76200 5777834.63400       62.04836
32564825.72700 5777831.58400       61.61666
32564818.22800 5777840.59100       61.40219
32564824.78000 5777847.42200       61.64547
32564826.47900 5777845.82700       61.65188
32564768.50300 5777835.02300       60.28221
32564760.79700 5777827.29500       60.30388
32564755.48900 5777832.58600       60.33456
32564753.07000 5777830.12700       60.32763
