 61.051 101   -1   -1   -1   0    0
 64.554 101   -1   -1   -1   0    0
 70.825 101   -1   -1   -1   0    0
 61.123 101   -1   -1   -1   0    0
 67.460 101   -1   -1   -1   0    0
 61.559 101   -1   -1   -1   0    0
 66.326 101   -1   -1   -1   0    0
 72.741 101   -1   -1   -1   0    0
 62.639 101   -1   -1   -1   0    0
 66.086 101   -1   -1   -1   0    0
 62.124 101   -1   -1   -1   0    0
 66.800 101   -1   -1   -1   0    0
 63.505 101   -1   -1   -1   0    0
 61.467 101   -1   -1   -1   0    0
 66.016 101   -1   -1   -1   0    0
 64.711 101   -1   -1   -1   0    0
 67.577 101   -1   -1   -1   0    0
 59.863 101   -1   -1   -1   0    0
 61.177 101   -1   -1   -1   0    0
 64.103 101   -1   -1   -1   0    0
 70.877 101   -1   -1   -1   0    0
 61.511 101   -1   -1   -1   0    0
 62.006 101   -1   -1   -1   0    0
 61.150 101   -1   -1   -1   0    0
 63.979 101   -1   -1   -1   0    0
 61.625 101   -1   -1   -1   0    0
 68.991 101   -1   -1   -1   0    0
 69.972 101   -1   -1   -1   0    0
 70.819 101   -1   -1   -1   0    0
 63.740 101   -1   -1   -1   0    0
 70.858 101   -1   -1   -1   0    0
 72.838 101   -1   -1   -1   0    0
 66.011 101   -1   -1   -1   0    0
 68.680 101   -1   -1   -1   0    0
 70.885 101   -1   -1   -1   0    0
 64.249 101   -1   -1   -1   0    0
 68.161 101   -1   -1   -1   0    0
 64.135 101   -1   -1   -1   0    0
 66.325 101   -1   -1   -1   0    0
 65.581 101   -1   -1   -1   0    0
 68.184 101   -1   -1   -1   0    0
 72.417 101   -1   -1   -1   0    0
 60.790 101   -1   -1   -1   0    0
 72.020 101   -1   -1   -1   0    0
 64.511 101   -1   -1   -1   0    0
 60.593 101   -1   -1   -1   0    0
 63.992 101   -1   -1   -1   0    0
 59.817 101   -1   -1   -1   0    0
 63.925 101   -1   -1   -1   0    0
 65.363 101   -1   -1   -1   0    0
 62.291 101   -1   -1   -1   0    0
 68.404 101   -1   -1   -1   0    0
 64.011 101   -1   -1   -1   0    0
 65.994 101   -1   -1   -1   0    0
 69.082 101   -1   -1   -1   0    0
 60.162 101   -1   -1   -1   0    0
 60.935 101   -1   -1   -1   0    0
 71.546 101   -1   -1   -1   0    0
 68.534 101   -1   -1   -1   0    0
 66.082 101   -1   -1   -1   0    0
 63.238 101   -1   -1   -1   0    0
 63.459 101   -1   -1   -1   0    0
 66.940 101   -1   -1   -1   0    0
 69.728 101   -1   -1   -1   0    0
