3 4471 3844   0 0 0    -1 -1 -1    
14787 896 -1   0 0 -1    -1 -1 1    
2305 8957 -1   0 0 -1    -1 -1 1    
0 9761 10941   0 0 0    -1 -1 -1    
-1 3540 1626   -1 0 0    1 -1 -1    
4086 14260 14366   0 0 0    -1 -1 -1    
14760 9062 3013   0 0 0    -1 -1 -1    
-1 6723 5947   -1 0 0    1 -1 -1    
6248 699 1066   0 0 0    -1 -1 -1    
-1 112 7697   -1 0 0    1 -1 -1    
480 6018 8936   0 0 0    -1 -1 -1    
-1 8023 577   -1 0 0    1 -1 -1    
-1 -1 9135   -1 -1 0    1 1 -1    
557 6271 7536   0 0 0    -1 -1 -1    
-1 32 836   -1 0 0    1 -1 -1    
-1 2648 2290   -1 0 0    1 -1 -1    
3825 11279 8995   0 0 0    -1 -1 -1    
47 10872 5741   0 0 0    -1 -1 -1    
-1 4601 8942   -1 0 0    1 -1 -1    
-1 7418 46   -1 0 0    1 -1 -1    
3482 34 -1   0 0 -1    -1 -1 1    
-1 6455 3569   -1 0 0    1 -1 -1    
1307 2287 2962   0 0 0    -1 -1 -1    
1318 -1 4662   0 -1 0    -1 1 -1    
-1 9011 1061   -1 0 0    1 -1 -1    
-1 303 8595   -1 0 0    1 -1 -1    
-1 383 8456   -1 0 0    1 -1 -1    
-1 7834 7298   -1 0 0    1 -1 -1    
-1 34 -1   -1 0 -1    1 -1 1    
-1 675 342   -1 0 0    1 -1 -1    
-1 1515 2665   -1 0 0    1 -1 -1    
6760 -1 5790   0 -1 0    -1 1 -1    
-1 651 14   -1 0 0    1 -1 -1    
12420 4059 656   0 0 0    -1 -1 -1    
28 -1 20   0 -1 0    -1 1 -1    
1883 2437 7390   0 0 0    -1 -1 -1    
3056 -1 4190   0 -1 0    -1 1 -1    
6031 352 495   0 0 0    -1 -1 -1    
-1 14752 9476   -1 0 0    1 -1 -1    
-1 3212 9174   -1 0 0    1 -1 -1    
742 -1 -1   0 -1 -1    -1 1 1    
-1 4784 1425   -1 0 0    1 -1 -1    
1894 -1 5026   0 -1 0    -1 1 -1    
5864 -1 8237   0 -1 0    -1 1 -1    
-1 7477 365   -1 0 0    1 -1 -1    
181 8211 426   0 0 0    -1 -1 -1    
19 3934 8805   0 0 0    -1 -1 -1    
1142 5778 17   0 0 0    -1 -1 -1    
5354 3934 6246   0 0 0    -1 -1 -1    
1055 1527 1566   0 0 0    -1 -1 -1    
-1 432 6479   -1 0 0    1 -1 -1    
-1 458 8050   -1 0 0    1 -1 -1    
-1 4825 5317   -1 0 0    1 -1 -1    
7431 -1 59   0 -1 0    -1 1 -1    
9556 3662 8652   0 0 0    -1 -1 -1    
-1 2663 3978   -1 0 0    1 -1 -1    
-1 4914 6659   -1 0 0    1 -1 -1    
1310 7274 10578   0 0 0    -1 -1 -1    
6753 4594 12864   0 0 0    -1 -1 -1    
-1 53 2374   -1 0 0    1 -1 -1    
-1 6363 8802   -1 0 0    1 -1 -1    
-1 6945 6944   -1 0 0    1 -1 -1    
3802 5216 3143   0 0 0    -1 -1 -1    
-1 8162 9505   -1 0 0    1 -1 -1    
-1 2977 8870   -1 0 0    1 -1 -1    
-1 670 248   -1 0 0    1 -1 -1    
-1 178 5889   -1 0 0    1 -1 -1    
-1 9618 7860   -1 0 0    1 -1 -1    
1317 852 7940   0 0 0    -1 -1 -1    
2205 928 1436   0 0 0    -1 -1 -1    
-1 109 8966   -1 0 0    1 -1 -1    
171 3618 -1   0 0 -1    -1 -1 1    
-1 7112 149   -1 0 0    1 -1 -1    
351 2788 5469   0 0 0    -1 -1 -1    
374 8371 3309   0 0 0    -1 -1 -1    
-1 141 10784   -1 0 0    1 -1 -1    
-1 5712 3614   -1 0 0    1 -1 -1    
3649 6837 2346   0 0 0    -1 -1 -1    
-1 4927 9102   -1 0 0    1 -1 -1    
-1 707 306   -1 0 0    1 -1 -1    
-1 6085 177   -1 0 0    1 -1 -1    
6768 4132 2098   0 0 0    -1 -1 -1    
-1 5809 1185   -1 0 0    1 -1 -1    
692 -1 6527   0 -1 0    -1 1 -1    
-1 118 2985   -1 0 0    1 -1 -1    
8988 -1 1821   0 -1 0    -1 1 -1    
93 4204 5600   0 0 0    -1 -1 -1    
-1 5456 443   -1 0 0    1 -1 -1    
235 4593 9448   0 0 0    -1 -1 -1    
-1 5921 8835   -1 0 0    1 -1 -1    
631 14690 6222   0 0 0    -1 -1 -1    
3870 6530 -1   0 0 -1    -1 -1 1    
-1 2892 -1   -1 0 -1    1 -1 1    
-1 95 86   -1 0 0    1 -1 -1    
4816 -1 -1   0 -1 -1    -1 1 1    
483 -1 93   0 -1 0    -1 1 -1    
8031 14593 1300   0 0 0    -1 -1 -1    
8285 8921 1671   0 0 0    -1 -1 -1    
1829 2206 -1   0 0 -1    -1 -1 1    
4808 1397 8751   0 0 0    -1 -1 -1    
-1 6453 222   -1 0 0    1 -1 -1    
2693 4834 949   0 0 0    -1 -1 -1    
477 2183 3808   0 0 0    -1 -1 -1    
9216 -1 4869   0 -1 0    -1 1 -1    
-1 140 10025   -1 0 0    1 -1 -1    
2271 221 2307   0 0 0    -1 -1 -1    
1293 -1 5040   0 -1 0    -1 1 -1    
10266 9584 5674   0 0 0    -1 -1 -1    
297 1455 1849   0 0 0    -1 -1 -1    
587 9952 70   0 0 0    -1 -1 -1    
