14788
0, 3 3844 3845 4471 4472 4475 9760 9761 10521 10522 10941 11613 12551
1, 896 992 8268 8492 8969 9414 14787
2, 2305 3268 3461 6209 8358 8957
3, 0 3844 4471 4472 4475 6213 8092 8093 9261 9760 9761 10521 10941 12551
4, 631 1092 1626 3155 3540 10894
5, 801 3324 4086 7406 10529 13985 14034 14194 14260 14290 14291 14366
6, 2012 3013 3874 6876 6877 8010 9062 9161 10033 10034 14752 14754 14760
7, 835 2077 5666 5947 6722 6723 10148 10149 11034
8, 699 1066 2769 4838 5984 6185 6248 7803 8669 14697
9, 112 862 1134 1509 1974 7014 7697 8482 10387
10, 126 480 488 534 3310 6017 6018 8936 8937 13787 13952 14435 14686
11, 462 577 2012 3013 5799 6641 8023 10034 11498
12, 1545 2735 4425 7049 9135 9503
13, 281 465 557 2973 3576 6271 6424 7334 7536 7537 9215
14, 32 651 836 2006 14749
15, 1617 2290 2448 2648 5314
16, 514 803 1382 2638 3825 7190 8995 10563 10564 10594 11279 11280
17, 47 1142 2393 5741 5778 7438 9500 10872 10958 11035
18, 639 2704 3024 3141 4601 8941 8942 14360
19, 46 48 230 867 2626 3934 6245 6246 7418 8421 8805
20, 28 34 960 2781 3482 4714
21, 2022 3569 5512 5561 6455 9943 9944
22, 216 1307 2286 2287 2962
23, 265 1318 3906 3907 4006 4662
24, 524 1061 1253 1815 6956 8654 8758 8953 9011 10375
25, 293 303 3655 5716 6205 8595 8596 9417 11506
26, 98 383 1829 2206 5918 8455 8456 9839 9840 10676
27, 1334 2907 3678 5369 7297 7298 7834 9402 9506
28, 20 34 3482 4714
29, 342 675 1227 2366 2633 7049 7645 13906
30, 1515 2665 2702 3238 5041 6377 8771
31, 5790 6760 8439 8659 11914 14681
32, 14 651 836 3463 4558
33, 656 1207 4059 6454 9563 9564 11257 12391 12420 12429
34, 20 28 3482 4714
35, 771 1576 1577 1883 1998 2437 2471 4056 5437 7389 7390
36, 3056 4190 5533 6921 8666 10895 14690
37, 352 495 3444 6031 6165 7408 7409 8611 8612
38, 3672 3874 5398 5735 9475 9476 14752 14754
39, 937 1203 3212 3304 5575 8273 9174 9175
40, 76 742 792 3614 6544
41, 1401 1425 1559 4051 4052 4784 9366
42, 1423 1894 5026 6640 9833 10472
43, 57 2579 5864 7274 8237 10578
44, 365 830 4631 6322 7477 10981
45, 181 426 435 1407 3871 8211 8991
46, 19 48 867 2626 3934 6097 6245 6246 7418 8112 8805 8806
47, 17 1142 2393 3229 4333 5741 5778 7438 10872
48, 19 46 3805 3934 5354 6097 6245 6246 7418 10141
49, 1055 1527 1566 2458 6587 7048 11889 14732
50, 432 574 795 1487 1838 4314 4315 6479 7622
51, 458 4203 4985 5139 5140 8049 8050 8423
52, 1427 2490 4563 4825 5024 5317 5318 7773 8422 9484 10539
53, 59 508 2374 3691 5196 5198 6977 7431 9873
54, 428 3555 3616 3662 4282 6566 8565 8652 8720 9556
55, 558 1637 2663 3978 7846 9224 9225 9458
56, 184 515 4015 4914 5448 6659 8204 8706 9930
57, 43 1310 4003 5864 6255 7046 7274 8237 8238 10578 10579 11149 11835
58, 1158 4594 4958 5004 6137 6752 6753 12494 12864
59, 53 1503 2071 2374 5196 6977 7431 9873
60, 1693 5960 6078 6363 7486 7487 8674 8802
61, 2931 6944 6945 8043 9103
62, 1535 3143 3802 5216 5302 7456 7727 7990 9034
63, 1226 2322 2624 7534 7998 8162 9403 9505 11428 11429
64, 1777 2977 4783 8870 9367 9605 9958
65, 248 670 1456 2647 6044 7271 8793
66, 178 2301 2434 5889 7315 8580
67, 766 1522 3203 6361 7359 7489 7686 7687 7860 8531 9298 9618
68, 852 1317 2773 3949 4102 4103 4275 7940 9406
69, 928 1436 1706 2205 5451 6310 9113 9254 10161
70, 109 587 1757 2684 8966 9654 9952 10412
71, 171 1036 1090 2121 3618 6030
72, 149 436 566 1565 6730 7112 8609 8610 9061 10691
73, 351 1621 1718 2788 3340 4967 5377 5468 5469 6666 6667
74, 166 204 374 3309 4347 6441 8371 8372 8796 8797 10154
75, 141 1749 2786 3023 5298 5873 6832 8180 8337 10784 10785
76, 40 742 1627 3614 5712 6670 8861 9604
77, 2258 2317 2346 3510 3649 6837 6838 7174 10458
78, 3628 4410 4927 7073 9102 9467 9851
79, 306 707 1100 5000 7261 14584
80, 177 241 6085 6086 6624
81, 1068 1136 2098 4131 4132 6768 8420 9897 9898
82, 264 551 1110 1185 1448 2414 5809 7651 8169
83, 692 1170 2137 2256 6341 6527 6693
84, 118 473 2869 2984 2985 8295
85, 512 975 1821 4533 7450 8234 8235 8988
86, 93 95 1584 4004 4204 4205 4916 5600 7662 8971
87, 443 950 3405 3406 3509 5455 5456 6541 8642
88, 235 957 4593 4778 4948 5464 6188 6332 6495 8342 9448
89, 2660 5921 7042 7461 8835 10082
90, 631 4190 5533 6221 6222 8436 10822 10894 10895 14690
91, 136 3870 6529 6530 6841 7082
92, 2016 2158 2891 2892 3456 4937
93, 86 95 483 1584 4004 4204 5600 8509 8971
94, 377 4815 4816 8556 9518
95, 86 93 483 2751 4204 8509 8971
96, 1228 1300 1834 3451 3548 8030 8031 10831 14592 14593 14594
97, 1671 3246 4218 7583 7882 8285 8753 8921 9864 11598 12155 12302
98, 26 383 1829 1830 2206 4366 8474
99, 1397 2543 4808 5057 5916 8750 8751 9427 11687 13527 14757
100, 222 266 1051 3846 5017 5133 5134 6452 6453 6678 9663
101, 168 949 2693 3330 3331 4834 6943 7734 8561 10276
102, 322 477 660 1601 2182 2183 3808 8571 9306 9872 11445
103, 2566 4604 4869 5115 8946 9216 9217 10987 11406 12996
104, 140 3857 5539 10025 10026 14695 14729
105, 206 221 864 2271 2306 2307 7851 7852
106, 1293 2720 5040 5321 6762
107, 252 3187 4752 4753 4934 5674 5675 8196 9584 10266
108, 297 819 1389 1455 1848 1849 4505 6262 7130 8277 8278 9936
109, 70 587 2684 6394 8925 8966 9952 10207 10412
110, 915 4071 5999 6000 6826 10104 10642
111, 294 317 732 4153 5983 6630 10270 10806 11495
112, 9 862 1509 1974 5032 7697 8482 10387
113, 611 997 2918 4769 6634 8477 8502 8503
114, 4204 4205 6518 7416 8971 8972
115, 202 296 384 627 1703 3674 4449 8132 9097
116, 246 1390 2807 3161 6117 8107 8123 8881 8897 9853 9986
117, 214 287 1663 4462 7559 8790 13263
118, 84 473 2985 8295
119, 219 960 1643 4225
120, 1366 2555 3299 3525 4158 4692 4693 5467 11526 13823
121, 3951 4686 6121 6409 6864 7369 8726
122, 226 2329 3539 3891 8156 8157 8188 10076
123, 154 2044 4636 4979 4980 5657
124, 765 1247 3184 3441 3442 3582 7462 9243 10989 14187 14244
125, 421 933 1754 3224 8875 8876 9823
126, 10 3310 6018 8936 8937 11936 13142 13192 13952 14686
127, 135 2679 3169 3720 3902 3903 3948 4022 6628 7302
128, 448 1025 3361 7043 8924 9009 10325
129, 343 431 578 1557 2383 4055 6206 6607 6608 8451 8452
130, 1514 5042 6652 8771 8772 8814 8815
131, 2350 2351 5955 5956 6164 8081 9813 9814 12006 12007
132, 133 286 2306 2307 4720 6282 7852 9282
133, 132 286 1556 2306 2307 4720 7851 7852
134, 1846 3543 3720 3902 3903 6928 6929 9620 9621 9961 13779
135, 127 2679 3169 3902 3903 3948
136, 91 1561 1834 3451 3870 6530 6841 6842 8376 10831
137, 1710 1882 2148 2808 3706 4629 8177 9642 10515
138, 389 441 3424 8026 8029 9750 10331 10389 11297 14269
139, 1506 4287 4308 4309 6476 7832 8417 9278 10048
140, 104 2658 2659 10025 10026 14695 14729
141, 75 1749 2786 3023 5873 5874 8180 9381 10784 10785
142, 239 1362 1508 1779 3234 5432 9469 10094
143, 804 5592 5691 5789 7022 7080 8427 8924 10325 10480 11378 11618 11954
144, 3660 3661 4033 5046 5856 6650 6651 9063 9345 9346 9666 9667
145, 763 1041 2550 2551
146, 704 2815 6595 7870 7944 8425 9418 10937 11732
147, 323 6350 6351 8789 10408
148, 2134 6293 6985 7981 7982 10522 10693 10694 11613
149, 72 436 566 1565 1909 7112 8609 8610 9061 9830 10483
150, 2015 6715 6729 6984 7113 7603 7604 8698 9286
151, 415 1394 6529 12617 13248
152, 428 4282 6239 7195 7907 8652 9685 10064 10065 10130 10761
153, 5498 5499 6728 7800 8817 9036 9497 10254 11163 11509 11845 12527 12680
154, 123 2044 5657 5663 5692 7599 7836 10536
155, 839 1034 2902 2932 3109 7066 7067 7621 8075 8340 8951 9641
156, 1870 1871 1981 1994 5054 5155 5876 7906 8719 10950 11103
157, 523 1072 1102 1233 1755 5097 7632
158, 1612 1724 4489 9119 9120 14154
159, 1738 5684 6226 6874 6875 7797 10731 10732
160, 1831 4846 6497 7588 7840 8690 9275 10191 10251
161, 267 422 1730 1739 5974 7151 7585 8194 10974 10975
162, 254 965 7147 7148
163, 855 1986 2874 5197
164, 880 1143 1172 4794 6320 6321 6962 10168
165, 880 1172 1619 6962 6963
166, 74 374 4346 4347 6441 8371
167, 227 710 1811 2279 4828 6816 9020 9841 10891 11380 11381 12307
168, 101 949 4834 6943 7734 8800 10276 11868
169, 1457 3704 6366 6472 7175 7938 8691
170, 201 622 2083 2308 4379 5815 7859
171, 71 1036 1090 1919 3618 7942 7943
172, 629 780 1112 1166 7989 8380 9486 9792 9852 10905
173, 1358 1978 3931 5379 5380 7480 7481 7715 10197 10820 14692 14693
174, 755 2680 3882 4054 6393 8768 10462
175, 464 605 1713 2020 3248 7087 9043 9672 9673
176, 1634 2415 4773 8453 8756
177, 80 241 5799 6085 6086 6624 6625
178, 66 684 2301 5889 8580
179, 616 696 1282 1659 6537 6538 8693
180, 633 793 1760 1804 5523 8199 8200
181, 45 426 435 3871 4427 4428 8211 8991
182, 209 255 1002 4543
183, 253 788 2348 2484 5357 8017 8018
184, 56 189 515 793 4015 4902 4914 8199 8200
185, 863 3119 4545 7050 7051 7398
186, 1076 3352 4738 4739 6655
187, 360 776 1881 1926 2330 2331 5617 8584
188, 257 292 335 845 1219 4006 4662 6134 8327
189, 184 515 793 4015 4902 4903 5523 8199 8200
190, 270 376 479 4856 8333
191, 529 1393 3719 3722 4067 6220 6772 6773 7575 8213
192, 437 591 758 761 877 2528 6457
193, 263 1988 3696 6473 6485 7819 8461 9013 9014
194, 898 3066 3497 4193 5320 9084 9085 9703
195, 2422 4845 4846 6497 7840 8831 8832 10191 10397 10398
196, 567 689 1691 2728 3208 4874 7093 8515 8516 10235
197, 198 331 1380 3179 5063 5936 6539 6540 7628
198, 197 331 332 841 1087 5063 5936 6539 6540 7515 8676 9513
199, 5146 6474 6475 8534
200, 1060 2058 2164 2165 3715 4039 5203 7031 8585 9577
201, 170 622 2308 3936 4379 5815 7859 8286
202, 115 627 4449
203, 1286 3994 4117 6775
204, 74 374 2558 3309 3310 4347 8937 10154 13952
205, 774 942 1833 2447
206, 105 221 410 1532 1556 2306 2307 3034 4495 7851 11270
207, 208 565 1191 2432 3351 6617 6626
208, 207 565 1388 3351 6626 7941 8398 10855 11166 11746 14735
209, 182 255 2154 2505 4543
210, 1968 2144 5676 5677 8210 9817 10845 10935
211, 599 2335 4431 5595 5929 8098
212, 308 1536 2213 2214 4120 6633 9632
213, 457 721 1177 3204 3459 5028 5562 5590 5591 6007 14719
214, 117 1663 4462 4463 5360 7559 8790 9570 10409 13263
215, 326 1319 1320 1993 2411 3281 5268 5910 8545 8546 9331
216, 22 1307 1990 2962 3040 3041 4473 8538
217, 1802 4963 6307 6663 7241 7759 10203
218, 4261 4611 7616
