# 62663 RisoSurf
Str_Ablauf_14690 32565101.370 5778069.340 13789 0.010000    0.250  % 71.353 9999.990 -9928.637 %  MU15S509 1 12181    21.864145    
Str_Ablauf_16504 32564725.680 5778068.740 15603 0.010000    0.250  % 62.028 9999.990 -9937.962 %  MU14S509 1 394    24.255253    
Str_Ablauf_23427 32564950.960 5778261.930 21244 0.010000    0.250  % 68.406 9999.990 -9931.584 %  MU14N542 1 10550    25.746252    
Str_Ablauf_23430 32564971.960 5778314.270 21247 0.010000    0.250  % 69.003 9999.990 -9930.987 %  MU14N543 1 9881    23.825455    
Str_Ablauf_23431 32564936.220 5778198.110 21248 0.010000    0.250  % 68.217 9999.990 -9931.773 %  MU14N541 1 5488    19.445957    
Str_Ablauf_23432 32564936.100 5778192.400 21249 0.010000    0.250  % 68.157 9999.990 -9931.833 %  MU14N541 1 2571    19.141088    
Str_Ablauf_23433 32565036.150 5778163.100 21250 0.010000    0.250  % 70.235 9999.990 -9929.755 %  MU15S505 1 11188    31.943321    
Str_Ablauf_23434 32564935.920 5777916.030 21251 0.010000    0.250  % 65.673 9999.990 -9934.317 %  WE02N526 1 7286    22.929182    
Str_Ablauf_23435 32564939.820 5777912.050 21252 0.010000    0.250  % 65.742 9999.990 -9934.249 %  WE02N526 1 5322    30.031437    
Str_Ablauf_23436 32564962.210 5777939.570 21253 0.010000    0.250  % 66.786 9999.990 -9933.204 %  MU14S550 1 11751    27.844940    
Str_Ablauf_23437 32564987.500 5777964.890 21254 0.010000    0.250  % 67.667 9999.990 -9932.323 %  MU14S558 1 7647    12.377786    
Str_Ablauf_23438 32564991.580 5777961.010 21255 0.010000    0.250  % 67.737 9999.990 -9932.254 %  MU14S558 1 4320    11.832381    
Str_Ablauf_23439 32565015.480 5777995.830 21256 0.010000    0.250  % 68.834 9999.990 -9931.157 %  MU15S520 1 857    29.807690    
Str_Ablauf_23440 32565019.480 5777991.680 21257 0.010000    0.250  % 68.904 9999.990 -9931.087 %  MU15S520 1 7002    23.945415    
Str_Ablauf_23441 32565047.470 5778027.940 21258 0.010000    0.250  % 69.996 9999.990 -9929.994 %  MU15S525 1 7298    27.375025    
Str_Ablauf_23442 32565051.630 5778024.200 21259 0.010000    0.250  % 70.002 9999.990 -9929.989 %  MU15S525 1 7297    25.713295    
Str_Ablauf_23443 32564919.400 5778040.250 21260 0.010000    0.250  % 66.387 9999.990 -9933.603 %  MU14S547 1 10629    28.256943    
Str_Ablauf_23444 32564938.780 5778062.520 21261 0.010000    0.250  % 67.204 9999.990 -9932.786 %  MU14S547 1 10324    35.802429    
Str_Ablauf_23445 32564942.360 5778058.010 21262 0.010000    0.250  % 67.153 9999.990 -9932.837 %  MU14S547 1 11315    31.812357    
Str_Ablauf_23446 32564968.430 5778084.520 21263 0.010000    0.250  % 67.959 9999.990 -9932.032 %  MU14S552 1 8021    34.146172    
Str_Ablauf_23447 32564993.410 5778117.250 21264 0.010000    0.250  % 68.951 9999.990 -9931.039 %  MU14S502 1 10134    23.610615    
Str_Ablauf_23448 32564997.240 5778113.100 21265 0.010000    0.250  % 68.982 9999.990 -9931.008 %  MU14S502 1 2227    19.991943    
