18894 18894 18894
4241974.330 5428748.249       278.095
4241980.626 5428748.249       277.909
4241986.921 5428748.249       277.727
4241993.216 5428748.249       277.529
4241999.512 5428748.249       277.336
4242005.807 5428748.249       277.150
4242012.103 5428748.249       276.960
4242018.398 5428748.249       276.742
4242024.693 5428748.249       276.369
4242030.989 5428748.249       275.926
4242037.284 5428748.249       275.479
4242043.579 5428748.249       275.032
4242049.875 5428748.249       274.596
4242056.170 5428748.249       274.148
4242062.466 5428748.249       273.704
4242068.761 5428748.249       273.262
4242075.056 5428748.249       272.834
4242081.352 5428748.249       272.482
4242087.647 5428748.249       272.307
4242093.943 5428748.249       272.205
4242100.238 5428748.249       272.087
4242106.533 5428748.249       271.997
4242112.829 5428748.249       271.877
4242119.124 5428748.249       271.767
4242125.420 5428748.249       271.652
4242131.715 5428748.249       271.560
4242138.010 5428748.249       271.451
4242144.306 5428748.249       271.517
4242150.601 5428748.249       271.771
4242156.897 5428748.249       272.055
4242163.192 5428748.249       272.353
4242169.487 5428748.249       272.623
4242175.783 5428748.249       272.919
4242182.078 5428748.249       273.196
4242188.374 5428748.249       273.498
4242194.669 5428748.249       273.776
4242200.964 5428748.249       274.046
4242207.260 5428748.249       274.169
4242213.555 5428748.249       274.188
4242219.851 5428748.249       274.193
4242226.146 5428748.249       274.210
4242232.441 5428748.249       274.214
4242238.737 5428748.249       274.216
4242245.032 5428748.249       274.234
4242251.328 5428748.249       274.242
4242257.623 5428748.249       274.241
4242263.918 5428748.249       274.236
4242270.214 5428748.249       274.153
4242276.509 5428748.249       274.042
4242282.805 5428748.249       273.939
4242289.100 5428748.249       273.824
4242295.395 5428748.249       273.716
4242301.691 5428748.249       273.610
4242307.986 5428748.249       273.501
4242314.282 5428748.249       273.377
4242320.577 5428748.249       273.265
4242326.872 5428748.249       273.158
4242333.168 5428748.249       273.030
4242339.463 5428748.249       272.910
4242345.759 5428748.249       272.774
4242352.054 5428748.249       272.662
4242358.349 5428748.249       272.540
4242364.645 5428748.249       272.412
4242370.940 5428748.249       272.288
4242377.236 5428748.249       272.181
4242383.531 5428748.249       272.046
4242389.826 5428748.249       271.881
4242396.122 5428748.249       271.677
4242402.417 5428748.249       271.459
4242408.713 5428748.249       271.254
4242415.008 5428748.249       271.046
4242421.303 5428748.249       270.824
4242427.599 5428748.249       270.618
4242433.894 5428748.249       270.405
4242440.190 5428748.249       270.203
4242446.485 5428748.249       269.988
4242452.780 5428748.249       269.799
4242459.076 5428748.249       269.595
4242465.371 5428748.249       269.393
4242471.667 5428748.249       269.192
4242477.962 5428748.249       268.993
4242484.257 5428748.249       268.783
4242490.553 5428748.249       268.593
4242496.848 5428748.249       268.385
4242503.144 5428748.249       268.180
4242509.439 5428748.249       267.981
4242515.734 5428748.249       267.780
4242522.030 5428748.249       267.585
4242528.325 5428748.249       267.397
4242534.621 5428748.249       267.190
4242540.916 5428748.249       266.986
4242547.211 5428748.249       266.796
4242553.507 5428748.249       266.595
4242559.802 5428748.249       266.406
4242566.098 5428748.249       266.195
4242572.393 5428748.249       266.160
4242578.688 5428748.249       266.335
4242584.984 5428748.249       266.539
4242591.279 5428748.249       266.721
4242597.575 5428748.249       266.926
4242603.870 5428748.249       267.110
4242610.165 5428748.249       267.307
4242616.461 5428748.249       267.504
4242622.756 5428748.249       267.682
4242629.051 5428748.249       267.875
4242635.347 5428748.249       267.942
4242641.642 5428748.249       267.958
4242647.938 5428748.249       267.947
4242654.233 5428748.249       267.954
4242660.528 5428748.249       267.955
4242666.824 5428748.249       267.965
4242673.119 5428748.249       267.972
4242679.415 5428748.249       267.986
4242685.710 5428748.249       267.998
4242692.005 5428748.249       268.072
4242698.301 5428748.249       268.314
4242704.596 5428748.249       268.626
4242710.892 5428748.249       268.949
4242717.187 5428748.249       269.261
4242723.482 5428748.249       269.586
4242729.778 5428748.249       269.908
4242736.073 5428748.249       270.235
4242742.369 5428748.249       270.545
4242748.664 5428748.249       270.881
4242754.959 5428748.249       271.154
4242761.255 5428748.249       271.365
4242767.550 5428748.249       271.552
4242773.846 5428748.249       271.755
4242780.141 5428748.249       271.941
4242786.436 5428748.249       272.144
4242792.732 5428748.249       272.328
4242799.027 5428748.249       272.537
4242805.323 5428748.249       272.726
4242811.618 5428748.249       272.919
4242817.913 5428748.249       273.056
4242824.209 5428748.249       273.157
4242830.504 5428748.249       273.265
4242836.800 5428748.249       273.372
4242843.095 5428748.249       273.461
4242849.390 5428748.249       273.571
4242855.686 5428748.249       273.675
4242861.981 5428748.249       273.767
4242868.277 5428748.249       273.881
4242874.572 5428748.249       273.972
4242880.867 5428748.249       274.075
4242887.163 5428748.249       274.195
4242893.458 5428748.249       274.290
4242899.754 5428748.249       274.388
4242906.049 5428748.249       274.493
4242912.344 5428748.249       274.601
4242918.640 5428748.249       274.708
4242924.935 5428748.249       274.804
4242931.231 5428748.249       274.903
4242937.526 5428748.249       275.041
4242943.821 5428748.249       275.211
4242950.117 5428748.249       275.385
4242956.412 5428748.249       275.571
4242962.708 5428748.249       275.760
4242969.003 5428748.249       275.930
4242975.298 5428748.249       276.113
4242981.594 5428748.249       276.287
4242987.889 5428748.249       276.476
4242994.185 5428748.249       276.658
4243000.480 5428748.249       276.810
4243006.775 5428748.249       276.982
4243013.071 5428748.249       277.117
4243019.366 5428748.249       277.266
4243025.662 5428748.249       277.415
4243031.957 5428748.249       277.574
4243038.252 5428748.249       277.725
4243044.548 5428748.249       277.851
4243050.843 5428748.249       277.996
4243057.139 5428748.249       278.140
4243063.434 5428748.249       278.165
4243069.729 5428748.249       278.135
4243076.025 5428748.249       278.086
4243082.320 5428748.249       278.055
4243088.616 5428748.249       278.006
4243094.911 5428748.249       277.981
4243101.206 5428748.249       277.929
4243107.502 5428748.249       277.883
4243113.797 5428748.249       277.837
4243120.093 5428748.249       277.812
4243126.388 5428748.249       277.797
4243132.683 5428748.249       277.779
4243138.979 5428748.249       277.757
4243145.274 5428748.249       277.755
4243151.570 5428748.249       277.738
4243157.865 5428748.249       277.726
4243164.160 5428748.249       277.706
4243170.456 5428748.249       277.698
4243176.751 5428748.249       277.688
4243183.047 5428748.249       277.642
4243189.342 5428748.249       277.579
4243195.637 5428748.249       277.504
4243201.933 5428748.249       277.424
4243208.228 5428748.249       277.337
4243214.523 5428748.249       277.253
4243220.819 5428748.249       277.178
4243227.114 5428748.249       277.108
4243233.410 5428748.249       277.024
4241974.330 5428758.143       277.870
4241980.626 5428758.143       277.662
4241986.921 5428758.143       277.463
4241993.216 5428758.143       277.274
4241999.512 5428758.143       277.069
4242005.807 5428758.143       276.885
4242012.103 5428758.143       276.682
4242018.398 5428758.143       276.454
4242024.693 5428758.143       276.096
4242030.989 5428758.143       275.658
4242037.284 5428758.143       275.221
4242043.579 5428758.143       274.787
4242049.875 5428758.143       274.363
4242056.170 5428758.143       273.921
4242062.466 5428758.143       273.494
4242068.761 5428758.143       273.074
4242075.056 5428758.143       272.633
4242081.352 5428758.143       272.287
4242087.647 5428758.143       272.117
4242093.943 5428758.143       271.993
4242100.238 5428758.143       271.896
4242106.533 5428758.143       271.781
4242112.829 5428758.143       271.682
4242119.124 5428758.143       271.557
4242125.420 5428758.143       271.448
4242131.715 5428758.143       271.345
4242138.010 5428758.143       271.237
4242144.306 5428758.143       271.299
4242150.601 5428758.143       271.549
4242156.897 5428758.143       271.846
4242163.192 5428758.143       272.151
4242169.487 5428758.143       272.438
4242175.783 5428758.143       272.738
4242182.078 5428758.143       273.036
4242188.374 5428758.143       273.328
4242194.669 5428758.143       273.638
4242200.964 5428758.143       273.912
4242207.260 5428758.143       274.049
4242213.555 5428758.143       274.050
4242219.851 5428758.143       274.056
4242226.146 5428758.143       274.037
4242232.441 5428758.143       274.047
4242238.737 5428758.143       274.039
4242245.032 5428758.143       274.033
4242251.328 5428758.143       274.028
4242257.623 5428758.143       274.012
4242263.918 5428758.143       273.986
4242270.214 5428758.143       273.915
4242276.509 5428758.143       273.799
4242282.805 5428758.143       273.694
4242289.100 5428758.143       273.573
4242295.395 5428758.143       273.467
4242301.691 5428758.143       273.365
4242307.986 5428758.143       273.259
4242314.282 5428758.143       273.140
4242320.577 5428758.143       273.044
4242326.872 5428758.143       272.924
4242333.168 5428758.143       272.818
4242339.463 5428758.143       272.699
4242345.759 5428758.143       272.598
4242352.054 5428758.143       272.492
4242358.349 5428758.143       272.379
4242364.645 5428758.143       272.283
4242370.940 5428758.143       272.170
4242377.236 5428758.143       272.066
4242383.531 5428758.143       271.972
4242389.826 5428758.143       271.822
4242396.122 5428758.143       271.612
4242402.417 5428758.143       271.416
4242408.713 5428758.143       271.224
4242415.008 5428758.143       271.022
4242421.303 5428758.143       270.819
4242427.599 5428758.143       270.625
4242433.894 5428758.143       270.425
4242440.190 5428758.143       270.236
4242446.485 5428758.143       270.037
4242452.780 5428758.143       269.847
4242459.076 5428758.143       269.639
4242465.371 5428758.143       269.427
4242471.667 5428758.143       269.222
4242477.962 5428758.143       269.018
4242484.257 5428758.143       268.817
4242490.553 5428758.143       268.601
4242496.848 5428758.143       268.412
4242503.144 5428758.143       268.201
4242509.439 5428758.143       267.990
4242515.734 5428758.143       267.795
4242522.030 5428758.143       267.605
4242528.325 5428758.143       267.401
4242534.621 5428758.143       267.212
4242540.916 5428758.143       267.021
4242547.211 5428758.143       266.833
4242553.507 5428758.143       266.639
4242559.802 5428758.143       266.456
4242566.098 5428758.143       266.255
4242572.393 5428758.143       266.225
4242578.688 5428758.143       266.365
4242584.984 5428758.143       266.544
4242591.279 5428758.143       266.732
4242597.575 5428758.143       266.912
4242603.870 5428758.143       267.090
4242610.165 5428758.143       267.257
4242616.461 5428758.143       267.430
4242622.756 5428758.143       267.592
4242629.051 5428758.143       267.754
4242635.347 5428758.143       267.845
4242641.642 5428758.143       267.856
4242647.938 5428758.143       267.872
4242654.233 5428758.143       267.887
4242660.528 5428758.143       267.907
4242666.824 5428758.143       267.933
4242673.119 5428758.143       267.947
4242679.415 5428758.143       267.966
4242685.710 5428758.143       267.977
4242692.005 5428758.143       268.049
4242698.301 5428758.143       268.298
4242704.596 5428758.143       268.617
4242710.892 5428758.143       268.951
4242717.187 5428758.143       269.284
4242723.482 5428758.143       269.609
4242729.778 5428758.143       269.956
4242736.073 5428758.143       270.276
4242742.369 5428758.143       270.610
4242748.664 5428758.143       270.948
4242754.959 5428758.143       271.243
4242761.255 5428758.143       271.445
4242767.550 5428758.143       271.636
4242773.846 5428758.143       271.821
4242780.141 5428758.143       271.988
4242786.436 5428758.143       272.178
4242792.732 5428758.143       272.357
4242799.027 5428758.143       272.545
4242805.323 5428758.143       272.720
4242811.618 5428758.143       272.902
4242817.913 5428758.143       273.052
4242824.209 5428758.143       273.159
4242830.504 5428758.143       273.255
4242836.800 5428758.143       273.362
4242843.095 5428758.143       273.456
4242849.390 5428758.143       273.557
4242855.686 5428758.143       273.658
4242861.981 5428758.143       273.767
4242868.277 5428758.143       273.861
4242874.572 5428758.143       273.980
4242880.867 5428758.143       274.074
4242887.163 5428758.143       274.187
4242893.458 5428758.143       274.290
4242899.754 5428758.143       274.388
4242906.049 5428758.143       274.480
4242912.344 5428758.143       274.595
4242918.640 5428758.143       274.696
4242924.935 5428758.143       274.804
4242931.231 5428758.143       274.909
4242937.526 5428758.143       275.024
4242943.821 5428758.143       275.176
4242950.117 5428758.143       275.355
4242956.412 5428758.143       275.514
4242962.708 5428758.143       275.685
4242969.003 5428758.143       275.868
4242975.298 5428758.143       276.032
4242981.594 5428758.143       276.201
4242987.889 5428758.143       276.373
4242994.185 5428758.143       276.540
4243000.480 5428758.143       276.696
4243006.775 5428758.143       276.827
4243013.071 5428758.143       276.962
4243019.366 5428758.143       277.090
4243025.662 5428758.143       277.206
4243031.957 5428758.143       277.339
4243038.252 5428758.143       277.450
4243044.548 5428758.143       277.591
4243050.843 5428758.143       277.698
4243057.139 5428758.143       277.818
4243063.434 5428758.143       277.842
4243069.729 5428758.143       277.793
4243076.025 5428758.143       277.736
4243082.320 5428758.143       277.702
4243088.616 5428758.143       277.650
4243094.911 5428758.143       277.590
4243101.206 5428758.143       277.532
4243107.502 5428758.143       277.495
4243113.797 5428758.143       277.427
4243120.093 5428758.143       277.398
4243126.388 5428758.143       277.362
4243132.683 5428758.143       277.357
4243138.979 5428758.143       277.337
4243145.274 5428758.143       277.322
4243151.570 5428758.143       277.321
4243157.865 5428758.143       277.306
4243164.160 5428758.143       277.293
4243170.456 5428758.143       277.271
4243176.751 5428758.143       277.267
4243183.047 5428758.143       277.230
4243189.342 5428758.143       277.178
4243195.637 5428758.143       277.094
4243201.933 5428758.143       277.025
4243208.228 5428758.143       276.956
4243214.523 5428758.143       276.890
4243220.819 5428758.143       276.830
4243227.114 5428758.143       276.763
4243233.410 5428758.143       276.693
4241974.330 5428768.038       277.632
4241980.626 5428768.038       277.436
4241986.921 5428768.038       277.213
4241993.216 5428768.038       277.014
4241999.512 5428768.038       276.803
4242005.807 5428768.038       276.593
4242012.103 5428768.038       276.376
4242018.398 5428768.038       276.139
4242024.693 5428768.038       275.799
4242030.989 5428768.038       275.376
4242037.284 5428768.038       274.958
4242043.579 5428768.038       274.523
4242049.875 5428768.038       274.114
4242056.170 5428768.038       273.690
4242062.466 5428768.038       273.256
4242068.761 5428768.038       272.841
4242075.056 5428768.038       272.421
4242081.352 5428768.038       272.079
4242087.647 5428768.038       271.886
4242093.943 5428768.038       271.765
4242100.238 5428768.038       271.671
4242106.533 5428768.038       271.558
4242112.829 5428768.038       271.451
4242119.124 5428768.038       271.341
4242125.420 5428768.038       271.245
4242131.715 5428768.038       271.137
4242138.010 5428768.038       271.033
4242144.306 5428768.038       271.077
4242150.601 5428768.038       271.328
4242156.897 5428768.038       271.621
4242163.192 5428768.038       271.910
4242169.487 5428768.038       272.224
4242175.783 5428768.038       272.522
4242182.078 5428768.038       272.802
4242188.374 5428768.038       273.105
4242194.669 5428768.038       273.410
4242200.964 5428768.038       273.697
4242207.260 5428768.038       273.820
4242213.555 5428768.038       273.814
4242219.851 5428768.038       273.798
4242226.146 5428768.038       273.773
4242232.441 5428768.038       273.753
4242238.737 5428768.038       273.737
4242245.032 5428768.038       273.712
4242251.328 5428768.038       273.708
4242257.623 5428768.038       273.681
4242263.918 5428768.038       273.651
4242270.214 5428768.038       273.562
4242276.509 5428768.038       273.470
4242282.805 5428768.038       273.350
4242289.100 5428768.038       273.244
4242295.395 5428768.038       273.153
4242301.691 5428768.038       273.042
4242307.986 5428768.038       272.941
4242314.282 5428768.038       272.834
4242320.577 5428768.038       272.735
4242326.872 5428768.038       272.638
4242333.168 5428768.038       272.545
4242339.463 5428768.038       272.443
4242345.759 5428768.038       272.337
4242352.054 5428768.038       272.238
4242358.349 5428768.038       272.145
4242364.645 5428768.038       272.051
4242370.940 5428768.038       271.953
4242377.236 5428768.038       271.854
4242383.531 5428768.038       271.768
4242389.826 5428768.038       271.634
4242396.122 5428768.038       271.449
4242402.417 5428768.038       271.268
4242408.713 5428768.038       271.105
4242415.008 5428768.038       270.921
4242421.303 5428768.038       270.741
4242427.599 5428768.038       270.579
4242433.894 5428768.038       270.406
4242440.190 5428768.038       270.228
4242446.485 5428768.038       270.047
4242452.780 5428768.038       269.851
4242459.076 5428768.038       269.650
4242465.371 5428768.038       269.455
4242471.667 5428768.038       269.247
4242477.962 5428768.038       269.046
4242484.257 5428768.038       268.833
4242490.553 5428768.038       268.616
4242496.848 5428768.038       268.423
4242503.144 5428768.038       268.218
4242509.439 5428768.038       268.019
4242515.734 5428768.038       267.830
4242522.030 5428768.038       267.640
4242528.325 5428768.038       267.448
4242534.621 5428768.038       267.283
4242540.916 5428768.038       267.090
4242547.211 5428768.038       266.902
4242553.507 5428768.038       266.729
4242559.802 5428768.038       266.546
4242566.098 5428768.038       266.376
4242572.393 5428768.038       266.326
4242578.688 5428768.038       266.441
4242584.984 5428768.038       266.598
4242591.279 5428768.038       266.751
4242597.575 5428768.038       266.902
4242603.870 5428768.038       267.052
4242610.165 5428768.038       267.203
4242616.461 5428768.038       267.372
4242622.756 5428768.038       267.511
4242629.051 5428768.038       267.669
4242635.347 5428768.038       267.743
4242641.642 5428768.038       267.767
4242647.938 5428768.038       267.802
4242654.233 5428768.038       267.815
4242660.528 5428768.038       267.840
4242666.824 5428768.038       267.883
4242673.119 5428768.038       267.898
4242679.415 5428768.038       267.940
4242685.710 5428768.038       267.969
4242692.005 5428768.038       268.042
4242698.301 5428768.038       268.278
4242704.596 5428768.038       268.629
4242710.892 5428768.038       273.367
4242717.187 5428768.038       271.394
4242723.482 5428768.038       269.642
4242729.778 5428768.038       269.982
4242736.073 5428768.038       270.322
4242742.369 5428768.038       270.680
4242748.664 5428768.038       271.015
4242754.959 5428768.038       271.321
4242761.255 5428768.038       271.530
4242767.550 5428768.038       271.702
4242773.846 5428768.038       271.880
4242780.141 5428768.038       272.038
4242786.436 5428768.038       272.216
4242792.732 5428768.038       272.391
4242799.027 5428768.038       272.567
4242805.323 5428768.038       272.736
4242811.618 5428768.038       272.906
4242817.913 5428768.038       273.040
4242824.209 5428768.038       273.146
4242830.504 5428768.038       273.246
4242836.800 5428768.038       273.345
4242843.095 5428768.038       273.447
4242849.390 5428768.038       273.559
4242855.686 5428768.038       273.660
4242861.981 5428768.038       273.761
4242868.277 5428768.038       273.867
4242874.572 5428768.038       273.963
4242880.867 5428768.038       274.064
4242887.163 5428768.038       274.180
4242893.458 5428768.038       274.268
4242899.754 5428768.038       274.381
4242906.049 5428768.038       274.480
4242912.344 5428768.038       274.586
4242918.640 5428768.038       274.682
4242924.935 5428768.038       274.780
4242931.231 5428768.038       274.899
4242937.526 5428768.038       275.014
4242943.821 5428768.038       275.151
4242950.117 5428768.038       275.319
4242956.412 5428768.038       275.487
4242962.708 5428768.038       275.640
4242969.003 5428768.038       275.804
4242975.298 5428768.038       275.958
4242981.594 5428768.038       276.106
4242987.889 5428768.038       276.277
4242994.185 5428768.038       276.430
4243000.480 5428768.038       276.578
4243006.775 5428768.038       276.686
4243013.071 5428768.038       276.796
4243019.366 5428768.038       276.903
4243025.662 5428768.038       276.996
4243031.957 5428768.038       277.096
4243038.252 5428768.038       277.200
4243044.548 5428768.038       277.307
4243050.843 5428768.038       277.416
4243057.139 5428768.038       277.502
4243063.434 5428768.038       277.512
4243069.729 5428768.038       277.460
4243076.025 5428768.038       277.391
4243082.320 5428768.038       277.346
4243088.616 5428768.038       277.276
4243094.911 5428768.038       277.217
4243101.206 5428768.038       277.161
4243107.502 5428768.038       277.083
4243113.797 5428768.038       277.016
4243120.093 5428768.038       276.960
4243126.388 5428768.038       276.942
4243132.683 5428768.038       276.915
4243138.979 5428768.038       276.918
4243145.274 5428768.038       276.900
4243151.570 5428768.038       276.881
4243157.865 5428768.038       276.873
4243164.160 5428768.038       276.856
4243170.456 5428768.038       276.849
4243176.751 5428768.038       276.841
4243183.047 5428768.038       276.817
4243189.342 5428768.038       276.757
4243195.637 5428768.038       276.706
4243201.933 5428768.038       276.646
4243208.228 5428768.038       276.579
4243214.523 5428768.038       276.539
4243220.819 5428768.038       276.466
4243227.114 5428768.038       276.418
4243233.410 5428768.038       276.372
4241974.330 5428777.932       277.404
4241980.626 5428777.932       277.187
4241986.921 5428777.932       276.962
4241993.216 5428777.932       276.716
4241999.512 5428777.932       276.493
4242005.807 5428777.932       276.258
4242012.103 5428777.932       276.041
4242018.398 5428777.932       275.798
4242024.693 5428777.932       275.455
4242030.989 5428777.932       275.048
4242037.284 5428777.932       274.631
4242043.579 5428777.932       274.219
4242049.875 5428777.932       273.800
4242056.170 5428777.932       273.379
4242062.466 5428777.932       272.965
4242068.761 5428777.932       272.568
4242075.056 5428777.932       272.154
4242081.352 5428777.932       271.798
4242087.647 5428777.932       271.608
4242093.943 5428777.932       271.512
4242100.238 5428777.932       271.399
4242106.533 5428777.932       271.303
4242112.829 5428777.932       271.200
4242119.124 5428777.932       271.105
4242125.420 5428777.932       271.005
4242131.715 5428777.932       270.911
4242138.010 5428777.932       270.805
4242144.306 5428777.932       270.854
4242150.601 5428777.932       271.083
4242156.897 5428777.932       271.358
4242163.192 5428777.932       271.650
4242169.487 5428777.932       271.937
4242175.783 5428777.932       272.229
4242182.078 5428777.932       272.502
4242188.374 5428777.932       272.787
4242194.669 5428777.932       273.078
4242200.964 5428777.932       273.365
4242207.260 5428777.932       273.503
4242213.555 5428777.932       273.473
4242219.851 5428777.932       273.450
4242226.146 5428777.932       273.420
4242232.441 5428777.932       273.391
4242238.737 5428777.932       273.366
4242245.032 5428777.932       273.336
4242251.328 5428777.932       273.304
4242257.623 5428777.932       273.263
4242263.918 5428777.932       273.234
4242270.214 5428777.932       273.156
4242276.509 5428777.932       273.064
4242282.805 5428777.932       272.971
4242289.100 5428777.932       272.865
4242295.395 5428777.932       272.781
4242301.691 5428777.932       272.683
4242307.986 5428777.932       272.590
4242314.282 5428777.932       272.508
4242320.577 5428777.932       272.419
4242326.872 5428777.932       272.333
4242333.168 5428777.932       272.232
4242339.463 5428777.932       272.147
4242345.759 5428777.932       272.058
4242352.054 5428777.932       271.966
4242358.349 5428777.932       271.880
4242364.645 5428777.932       271.797
4242370.940 5428777.932       271.708
4242377.236 5428777.932       271.625
4242383.531 5428777.932       271.551
4242389.826 5428777.932       271.438
4242396.122 5428777.932       271.288
4242402.417 5428777.932       271.132
4242408.713 5428777.932       270.969
4242415.008 5428777.932       270.808
4242421.303 5428777.932       270.659
4242427.599 5428777.932       270.497
