# 168
J_168 4242842.706 5428893.187 0 0.00000    1.0000  % 274.248 274.248 0 % 1 5874   1 
J_201 4242899.552 5429130.061 1 0.00000    1.0000  % 269.765 269.765 0 % 1 15492   1 
J_169 4242862.241 5428847.161 2 0.00000    1.0000  % 276.691 276.691 0 % 1 3882   1 
J_202 4242850.072 5429122.868 3 0.00000    1.0000  % 266.913 266.913 0 % 1 15078   1 
J_166 4242825.511 5429009.403 4 0.00000    1.0000  % 269.193 269.193 0 % 1 10670   1 
J_167 4242832.829 5428959.941 5 0.00000    1.0000  % 271.355 271.355 0 % 1 8672   1 
J_200 4242971.205 5429111.582 6 0.00000    1.0000  % 272.994 272.994 0 % 1 14716   1 
J_165 4242818.193 5429058.864 7 0.00000    1.0000  % 266.916 266.916 0 % 1 12668   1 
J_162 4242319.413 5429196.902 8 0.00000    1.0000  % 250.985 250.985 0 % 1 18108   1 
J_161 4242287.460 5429129.436 9 0.00000    1.0000  % 254.783 254.783 0 % 1 15298   1 
J_91 4242397.842 5429030.661 10 0.00000    1.0000  % 261.282 261.282 0 % 1 11334   1 
J_90 4242376.529 5428968.452 11 0.00000    1.0000  % 265.494 265.494 0 % 1 8926   1 
J_97 4242441.976 5429141.060 12 0.00000    1.0000  % 255.116 255.116 0 % 1 15748   1 
J_95 4242423.960 5429094.418 13 0.00000    1.0000  % 257.394 257.394 0 % 1 13742   1 
J_13 4242453.567 5429321.332 14 0.00000    1.0000  % 259.915 259.915 0 % 1 22952   1 
J_12 4242427.407 5429452.604 15 0.00000    1.0000  % 266.327 266.327 0 % 1 28542   1 
J_11 4242405.673 5429387.029 16 0.00000    1.0000  % 262.689 262.689 0 % 1 25736   1 
J_10 4242389.942 5429339.568 17 0.00000    1.0000  % 259.254 259.254 0 % 1 23732   1 
J_17 4242279.589 5429309.333 18 0.00000    1.0000  % 252.425 252.425 0 % 1 22496   1 
J_16 4242317.555 5429275.049 19 0.00000    1.0000  % 251.821 251.821 0 % 1 21308   1 
J_15 4242482.698 5429402.955 20 0.00000    1.0000  % 265.572 265.572 0 % 1 26560   1 
J_14 4242470.374 5429368.423 21 0.00000    1.0000  % 263.361 263.361 0 % 1 24956   1 
J_18 4242248.378 5429325.321 22 0.00000    1.0000  % 251.886 251.886 0 % 1 23286   1 
J_157 4242239.928 5429005.783 23 0.00000    1.0000  % 262.120 262.120 0 % 1 10484   1 
J_158 4242255.726 5429053.221 24 0.00000    1.0000  % 260.095 260.095 0 % 1 12088   1 
J_155 4242208.331 5428910.906 25 0.00000    1.0000  % 267.142 267.142 0 % 1 6474   1 
J_156 4242224.129 5428958.344 26 0.00000    1.0000  % 264.328 264.328 0 % 1 8478   1 
J_153 4242217.142 5428864.793 27 0.00000    1.0000  % 270.057 270.057 0 % 1 4476   1 
J_154 4242207.709 5428880.729 28 0.00000    1.0000  % 268.753 268.753 0 % 1 5274   1 
J_151 4242246.499 5428855.620 29 0.00000    1.0000  % 271.388 271.388 0 % 1 4086   1 
J_82 4242141.784 5429247.862 30 0.00000    1.0000  % 251.147 251.147 0 % 1 20052   1 
